Run/Fold,0,1,2,3,4,5,6,7,8,9,Avg
0,0.907407403,0.907407403,0.861111104,0.935185194,0.898148119,0.898148119,0.898148119,0.962962985,0.879629612,0.861111104,0.900925916
1,0.842592597,0.92592591,0.888888896,0.870370388,0.907407403,0.907407403,0.907407403,0.805555582,0.898148119,0.944444418,0.889814812
2,0.851851881,0.92592591,0.907407403,0.898148119,0.888888896,0.907407403,0.907407403,0.944444418,0.879629612,0.870370388,0.898148143
3,0.870370388,0.953703701,0.898148119,0.898148119,0.944444418,0.879629612,0.898148119,0.953703701,0.842592597,0.898148119,0.90370369
4,0.82407409,0.935185194,0.879629612,0.833333313,0.916666687,0.907407403,0.916666687,0.907407403,0.907407403,0.916666687,0.894444448
5,0.870370388,0.92592591,0.861111104,0.935185194,0.870370388,0.92592591,0.898148119,0.870370388,0.898148119,0.907407403,0.896296293
6,0.92592591,0.916666687,0.861111104,0.888888896,0.888888896,0.851851881,0.907407403,0.898148119,0.879629612,0.916666687,0.893518519
7,0.916666687,0.888888896,0.898148119,0.907407403,0.898148119,0.898148119,0.879629612,0.870370388,0.879629612,0.898148119,0.893518507
8,0.833333313,0.898148119,0.898148119,0.92592591,0.916666687,0.916666687,0.898148119,0.916666687,0.898148119,0.888888896,0.899074066
9,0.898148119,0.92592591,0.907407403,0.916666687,0.851851881,0.907407403,0.888888896,0.861111104,0.907407403,0.907407403,0.897222221
10,0.861111104,0.907407403,0.944444418,0.888888896,0.935185194,0.879629612,0.888888896,0.898148119,0.879629612,0.907407403,0.899074066
11,0.907407403,0.898148119,0.898148119,0.92592591,0.916666687,0.898148119,0.907407403,0.907407403,0.870370388,0.870370388,0.899999994
12,0.879629612,0.944444418,0.916666687,0.92592591,0.861111104,0.898148119,0.907407403,0.935185194,0.870370388,0.870370388,0.900925922
13,0.92592591,0.879629612,0.916666687,0.907407403,0.879629612,0.888888896,0.898148119,0.92592591,0.888888896,0.92592591,0.903703696
14,0.907407403,0.916666687,0.898148119,0.888888896,0.916666687,0.870370388,0.851851881,0.888888896,0.935185194,0.935185194,0.900925934
15,0.888888896,0.879629612,0.907407403,0.879629612,0.916666687,0.92592591,0.916666687,0.888888896,0.879629612,0.898148119,0.898148143
16,0.861111104,0.907407403,0.888888896,0.888888896,0.962962985,0.870370388,0.916666687,0.916666687,0.888888896,0.879629612,0.898148155
17,0.907407403,0.916666687,0.907407403,0.907407403,0.907407403,0.888888896,0.879629612,0.861111104,0.92592591,0.879629612,0.898148143
18,0.898148119,0.962962985,0.870370388,0.888888896,0.898148119,0.870370388,0.898148119,0.907407403,0.898148119,0.907407403,0.899999994
19,0.879629612,0.861111104,0.92592591,0.907407403,0.898148119,0.916666687,0.879629612,0.898148119,0.907407403,0.888888896,0.896296287
Avg,0.882870367,0.913888884,0.896759251,0.900925922,0.903703704,0.895370367,0.897222215,0.900925925,0.890740731,0.898611107,0.898101847
